"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.276,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"BEL","INCOMEINEQ","GINI","INEQ","A","2015",0.268,
"BEL","INCOMEINEQ","GINI","INEQ","A","2016",0.266,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2016",0.261,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2016",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2015",0.293,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"HUN","INCOMEINEQ","GINI","INEQ","A","2015",0.284,
"HUN","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.255,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.297,
"IRL","INCOMEINEQ","GINI","INEQ","A","2016",0.309,
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.328,
"JPN","INCOMEINEQ","GINI","INEQ","A","2015",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.352,
"KOR","INCOMEINEQ","GINI","INEQ","A","2016",0.355,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LUX","INCOMEINEQ","GINI","INEQ","A","2015",0.306,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.304,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.458,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.288,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.285,"P"
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"NOR","INCOMEINEQ","GINI","INEQ","A","2016",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2017",0.262,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.292,
"POL","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"PRT","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.251,
"SVK","INCOMEINEQ","GINI","INEQ","A","2016",0.241,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.345,
"ESP","INCOMEINEQ","GINI","INEQ","A","2016",0.341,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"SWE","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"SWE","INCOMEINEQ","GINI","INEQ","A","2017",0.282,
"CHE","INCOMEINEQ","GINI","INEQ","A","2015",0.296,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"GBR","INCOMEINEQ","GINI","INEQ","A","2016",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2017",0.357,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"USA","INCOMEINEQ","GINI","INEQ","A","2016",0.391,
"USA","INCOMEINEQ","GINI","INEQ","A","2017",0.39,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"CHL","INCOMEINEQ","GINI","INEQ","A","2017",0.46,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"EST","INCOMEINEQ","GINI","INEQ","A","2016",0.314,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"ISR","INCOMEINEQ","GINI","INEQ","A","2017",0.344,
"SVN","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"SVN","INCOMEINEQ","GINI","INEQ","A","2016",0.244,
"RUS","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"LVA","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"LTU","INCOMEINEQ","GINI","INEQ","A","2015",0.372,
"LTU","INCOMEINEQ","GINI","INEQ","A","2016",0.378,
"CRI","INCOMEINEQ","GINI","INEQ","A","2015",0.479,
"CRI","INCOMEINEQ","GINI","INEQ","A","2016",0.484,
"CRI","INCOMEINEQ","GINI","INEQ","A","2017",0.48,
"CRI","INCOMEINEQ","GINI","INEQ","A","2018",0.479,
"ZAF","INCOMEINEQ","GINI","INEQ","A","2015",0.62,"P"
